1,Tom Aaron,,155 lbs.,,,7/13/1978 0:00,0,0,0,0,0,0,0,,,,
2,Papy Abedi,"5' 11""",185 lbs.,,Southpaw,6/30/1978 0:00,2.8,0.55,0.48,3.47,0.57,0.5,1.3,Makambo,Welterweight,Stockholm,Sweden
3,Jon Jones,"6' 4""",205 lbs.,"84""",Orthodox,7/19/1987 0:00,4.3,0.57,0.64,1.85,0.44,0.95,0.4,Bones,Light Heavyweight,"Rochester, New York",United States
4,Shamil Abdurakhimov,"6' 3""",235 lbs.,"76""",Orthodox,9/2/1981 0:00,2.45,0.44,0.58,1.23,0.24,0.47,0.2,Abrek,Heavyweight,"Makhachkala, Dagestan",Russia
5,Holly Holm,"5' 8""",135 lbs.,"69""",Southpaw,10/17/1981 0:00,3.16,0.38,0.57,0.81,0.3,0.76,0.1,The Preacher's Daughter,Bantamweight,"Albuquerque, New Mexico",United States
6,Danny Abbadi,"5' 11""",155 lbs.,,Orthodox,7/3/1983 0:00,3.29,0.38,0.57,0,0,0.77,0,,Middleweight,"Orlando, Florida",United States
7,Dominick Cruz,"5' 8""",135 lbs.,"68""",Orthodox,3/9/1985 0:00,3.65,0.32,0.72,2.99,0.46,0.83,0.1,The Dominator,Bantamweight,"San Diego, California",United States
8,Hiroyuki Abe,"5' 6""",145 lbs.,,Orthodox,,1.71,0.36,0.63,0,0,0.33,0,,,,
9,Demetrious Johnson,"5' 3""",125 lbs.,"66""",Orthodox,8/13/1986 0:00,3.43,0.54,0.67,3.35,0.56,0.65,0.5,Mighty Mouse,Flyweight,"Kirkland, Washington",United States
10,Ricardo Abreu,"5' 11""",185 lbs.,,Orthodox,4/27/1984 0:00,3.79,0.31,0.68,2.13,0.42,1,0.7,Demente,Middleweight,"Ribeirao Preto, Sao Paulo",Brazil
11,Daichi Abe,"5' 11""",170 lbs.,"71""",Orthodox,11/27/1991 0:00,3.8,0.33,0.56,0.33,0.5,0,0,,,,
12,David Abbott,"6' 0""",265 lbs.,,Switch,,1.35,0.3,0.38,1.07,0.33,0.66,0,Tank,Heavyweight,"Huntington Beach, California",United States
13,Klidson Abreu,"6' 0""",205 lbs.,"74""",Orthodox,12/24/1992 0:00,2.05,0.4,0.55,0.64,0.2,0.8,0,,,,
14,Jose Aldo,"5' 7""",135 lbs.,"70""",Orthodox,9/9/1986 0:00,3.45,0.45,0.61,0.57,0.56,0.91,0.1,Scarface,Featherweight,"Manaus, Amazonas",Brazil
15,Daniel Acacio,"5' 8""",180 lbs.,,Orthodox,12/27/1977 0:00,3.52,0.36,0.62,0.33,0.2,0.81,0,,,,
16,Scott Adams,"6' 0""",225 lbs.,,Southpaw,,0,0,0,0,0,0,0,,Heavyweight,"San Luis Obispo, California",
17,Juan Adams,"6' 5""",265 lbs.,"80""",Orthodox,1/16/1992 0:00,7.09,0.55,0.34,0.91,0.66,0.57,0,,,,
18,Marcus Brimage,"5' 4""",135 lbs.,"71""",Southpaw,4/6/1985 0:00,3.97,0.35,0.56,0.56,1,0.8,0,The Bama Beast,Bantamweight,"Birmingham, Alabama",United States
19,Anthony Adams,"6' 1""",185 lbs.,"76""",Orthodox,1/13/1988 0:00,3.17,0.41,0.44,0,0,0,0,,,,
20,Diego Brandao,"5' 7""",145 lbs.,"64""",Orthodox,5/27/1987 0:00,2.94,0.47,0.62,3.21,0.68,0.8,0.6,DB,Featherweight,"Fortaleza, Ceara",Brazil
21,Sam Adkins,"6' 3""",225 lbs.,,Orthodox,4/26/1965 0:00,0,0,0,0,0,0,0,The Experience,Heavyweight,"Houston, Texas",United States
22,Max Holloway,"5' 11""",145 lbs.,"69""",Orthodox,12/4/1991 0:00,7.26,0.46,0.6,0.21,0.71,0.84,0.3,Blessed,Featherweight,"Waianae, Hawaii",United States
23,Israel Adesanya,"6' 4""",185 lbs.,"80""",Switch,7/22/1989 0:00,3.95,0.49,0.61,0,0,0.82,0.3,,,,
24,Zarrukh Adashev,"5' 5""",125 lbs.,"65""",Southpaw,7/29/1992 0:00,1.93,0.23,0.6,0,0,0,0,,,,
25,Marcelo Aguiar,"5' 10""",170 lbs.,,Orthodox,,0,0,0,0,0,0,0,,Welterweight,,Brazil
26,Vitor Belfort,"6' 0""",185 lbs.,"74""",Southpaw,4/1/1977 0:00,1.59,0.46,0.5,1.02,0.6,0.53,0.6,The Phenom,Middleweight,Rio de Janeiro,Brazil
27,Nick Agallar,"5' 8""",155 lbs.,,Orthodox,1/13/1979 0:00,0.69,0.11,0.42,0,0,0,0,,Lightweight,"Racine, Wisconsin",United States
28,Rashad Evans,"6' 0""",205 lbs.,"75""",Orthodox,9/25/1979 0:00,2.14,0.37,0.63,2.98,0.44,0.73,0,Suga,Light Heavyweight,"Niagara Falls, New York",United States
29,Mariya Agapova,"5' 6""",125 lbs.,"68""",Southpaw,4/7/1997 0:00,3.7,0.5,0.47,1.23,0.66,0.33,0.6,,,,
30,Ryan Bader,"6' 2""",205 lbs.,"74""",Orthodox,6/7/1983 0:00,2.82,0.43,0.71,3.37,0.44,0.8,0.4,Darth,Light Heavyweight,"Tempe, Arizona",United States
31,Edwin Aguilar,"5' 10""",185 lbs.,,,,0,0,0,0,0,0,0,,,,
32,Michael Bisping,"6' 1""",185 lbs.,"75""",Orthodox,2/28/1979 0:00,4.33,0.38,0.65,1.05,0.43,0.63,0.3,The Count,Middleweight,Manchester,England
33,Fabio Aguiar,"6' 0""",185 lbs.,,,2/10/1988 0:00,0,0,0,0,0,0,0,,,,
34,Alexander Gustafsson,"6' 5""",205 lbs.,"79""",Orthodox,1/15/1987 0:00,4.02,0.4,0.51,1.54,0.39,0.83,0.4,The Mauler,Light Heavyweight,"Stockholm, Stockholm County",Sweden
35,Jessica Aguilar,"5' 3""",115 lbs.,"63""",Orthodox,5/8/1982 0:00,4.93,0.5,0.53,0.94,0.25,0.5,0.2,Jag,Strawweight,"Houston, Texas",United States
36,Kevin Aguilar,"5' 7""",155 lbs.,"73""",Orthodox,9/7/1988 0:00,3.69,0.37,0.53,0.19,0.25,0.87,0,,,,
37,Christian Aguilera,"5' 9""",170 lbs.,"72""",Switch,11/25/1991 0:00,3.35,0.41,0.46,0,0,0,0,,,,
38,Quinton Jackson,"6' 1""",205 lbs.,"73""",Orthodox,6/20/1978 0:00,3.25,0.54,0.55,1.52,0.56,0.73,0.1,Rampage,Light Heavyweight,"Memphis, Tennessee",United States
39,Hitomi Akano,"5' 4""",135 lbs.,,Southpaw,7/27/1974 0:00,0.59,0.45,0.55,0,0,0.08,0.5,,,,
40,Mike Aina,"5' 9""",155 lbs.,,Orthodox,,2.87,0.33,0.59,0,0,0.71,0,,,,
41,Rostem Akman,"5' 10""",170 lbs.,"72""",Switch,12/19/1991 0:00,1.8,0.25,0.57,1,0.4,0.87,0,,,,
42,Stephan Bonnar,"6' 4""",205 lbs.,"79""",Orthodox,4/4/1977 0:00,2.76,0.38,0.52,1.32,0.4,0.6,1,The American Psycho,Light Heavyweight,"Hammond, Indiana",United States
43,Omari Akhmedov,"6' 0""",185 lbs.,"73""",Orthodox,10/12/1987 0:00,2.95,0.35,0.57,2.63,0.49,0.65,0.3,Wolverine,Welterweight,"Makhachkala, Dagestan",Russia
44,Razak Al-Hassan,"6' 2""",205 lbs.,,Orthodox,5/14/1982 0:00,3.27,0.39,0.6,0.65,0.14,0.57,0,Razor,Light Heavyweight,"Milwaukee, Wisconsin",United States
45,Razak Al-Hassan,"6' 2""",205 lbs.,,Orthodox,5/14/1982 0:00,3.27,0.39,0.6,0.65,0.14,0.57,0,Razor,Light Heavyweight,"Milwaukee, Wisconsin",United States
46,Yoshihiro Akiyama,"5' 10""",170 lbs.,"75""",Orthodox,7/29/1975 0:00,3.1,0.41,0.57,2.29,0.67,0.92,1,Sexyama,Welterweight,Osaka,Japan
47,Randy Couture,"6' 1""",205 lbs.,"75""",Orthodox,6/22/1963 0:00,2.85,0.57,0.59,2.78,0.46,0.58,0.5,The Natural,Light Heavyweight,"Corvallis, Oregon",United States
48,Herdem Alacabek,"6' 2""",205 lbs.,"75""",Orthodox,6/7/1991 0:00,3.84,0.65,0.23,2.06,0.5,0.42,0,,,,
49,Mostapha Al-Turk,"6' 2""",245 lbs.,"77""",Orthodox,7/14/1973 0:00,1.36,0.19,0.53,0,0,0,0,,Heavyweight,London,England
50,Javi Alanis,"5' 6""",135 lbs.,,,,0,0,0,0,0,0,0,,,,
51,Heili Alateng,"5' 5""",135 lbs.,"66""",Orthodox,12/14/1991 0:00,2.87,0.32,0.57,2.33,0.35,1,0,,,,
52,Donald Cerrone,"6' 1""",155 lbs.,"73""",Orthodox,3/29/1983 0:00,4.43,0.46,0.53,1.19,0.33,0.73,1.2,Cowboy,Lightweight,"Broomfield, Colorado",United States
53,Brett Albee,,225 lbs.,,,,0,0,0,0,0,0,0,,,,
54,Amir Albazi,"5' 5""",125 lbs.,"68""",Orthodox,10/27/1993 0:00,4.06,0.4,0.58,2.28,0.75,0.66,0.8,,,,
55,Wes Albritton,"5' 10""",188 lbs.,,Orthodox,,0,0,0,0,0,0,0,,N/A,,
56,Urijah Faber,"5' 6""",135 lbs.,"67""",Orthodox,5/14/1979 0:00,2.65,0.4,0.64,1.54,0.3,0.58,0.8,The California Kid,Bantamweight,"Sacramento, California",United States
57,John Albert,"5' 8""",135 lbs.,"68""",Orthodox,10/13/1986 0:00,3.05,0.49,0.35,0,0,0.5,6.1,Prince,N/A,"Puyallup, Washington",United States
58,Scott Jorgensen,"5' 5""",135 lbs.,"66""",Orthodox,9/17/1982 0:00,3.37,0.4,0.65,2.61,0.45,0.59,0.7,Young Guns,Bantamweight,"Boise, Idaho",United States
59,Aleksandra Albu,"5' 2""",115 lbs.,"63""",Orthodox,7/14/1990 0:00,4.83,0.47,0.38,2.27,0.5,0.77,0.4,Stitch,Strawweight,Moscow,Russia
60,Junior Albini,"6' 3""",264 lbs.,"74""",Orthodox,3/15/1991 0:00,3.98,0.51,0.52,1.54,0.37,1,0,,,,
61,Israel Albuquerque,,185 lbs.,,Orthodox,,0.32,0.13,0.25,0,0,0,0,,,,
62,Paul Bradley,"5' 9""",170 lbs.,,Orthodox,6/13/1983 0:00,2.26,0.32,0.56,1.12,0.16,1,0,The Gentleman,Welterweight,"San Diego, California",United States
63,Juan Alcain,,,,,,0,0,0,0,0,0,0,,,,
64,Tim Boetsch,"6' 0""",185 lbs.,"74""",Orthodox,1/28/1981 0:00,2.93,0.5,0.57,1.45,0.34,0.59,0.8,The Barbarian,Light Heavyweight,"Lincolnville, Maine",United States
65,Ildemar Alcantara,"6' 2""",185 lbs.,"78""",Orthodox,11/18/1982 0:00,1.93,0.38,0.5,2,0.68,0.81,0.9,Marajo,Middleweight,"Soure, Para",Brazil
66,Alfonso Alcarez,"5' 3""",145 lbs.,,,6/10/1970 0:00,0,0,0,0,0,0,0,Alfie,Bantamweight,"Las Vegas, Nevada",United States
67,Iuri Alcantara,"5' 9""",135 lbs.,"71""",Southpaw,8/4/1980 0:00,2.72,0.45,0.49,1.44,0.62,0.6,0.8,Marajo,Bantamweight,"Marajo, Para",Brazil
68,Gilbert Aldana,"6' 1""",250 lbs.,,Orthodox,8/25/1977 0:00,2.91,0.54,0.26,2.57,0.4,0.33,0,El Peligro,Heavyweight,"Chandler, Arizona",USA
69,Hector Aldana,"5' 11""",170 lbs.,"72""",Orthodox,8/17/1988 0:00,3.59,0.38,0.59,0.93,1,0,0,,,,
70,Keith Jardine,"6' 2""",185 lbs.,"76""",Orthodox,10/31/1975 0:00,3.25,0.36,0.59,1.18,0.45,0.62,0.7,The Dean of Mean,Middleweight,"Albuquerque, New Mexico",United States
71,Irene Aldana,"5' 9""",135 lbs.,"68""",Orthodox,3/26/1988 0:00,5.52,0.38,0.61,0.23,0.5,0.84,0.1,,,,
72,Dan Henderson,"5' 11""",185 lbs.,"74""",Orthodox,8/24/1970 0:00,2.44,0.47,0.51,1.52,0.52,0.57,0.3,Hendo,Middleweight,"Temecula, California",United States
73,JJ Aldrich,"5' 5""",125 lbs.,"67""",Southpaw,9/29/1992 0:00,3.76,0.41,0.61,0.8,0.4,0.57,0,,,,
74,Kevin Ferguson,"6' 2""",235 lbs.,"77""",Orthodox,2/8/1974 0:00,2.3,0.5,0.38,3.1,0.72,0.36,1.2,Kimbo Slice,Heavyweight,"Miami, Florida",United States
75,Kenneth Alexander,"5' 9""",155 lbs.,,Orthodox,9/25/1977 0:00,0.88,0.19,0.66,4.71,0.26,0,0,,,,
76,Anthony Johnson,"6' 2""",205 lbs.,"78""",Orthodox,3/6/1984 0:00,3.25,0.47,0.6,2.43,0.57,0.77,0.6,Rumble,Light Heavyweight,"Boca Raton, Florida",United States
77,Jim Alers,"5' 9""",145 lbs.,"71""",Orthodox,10/14/1986 0:00,2.9,0.4,0.56,2.26,0.41,0.8,0.3,The Beast,Featherweight,"Orlando, Florida",United States
78,Houston Alexander,"6' 0""",205 lbs.,"72""",Orthodox,3/22/1972 0:00,3.06,0.54,0.52,1.19,0.57,0.33,0,The Assassin,Light Heavyweight,"Omaha, Nebraska",United States
79,Joe Doerksen,"6' 0""",185 lbs.,"75""",Orthodox,10/9/1977 0:00,1.43,0.42,0.5,2.02,0.33,0.33,2.3,El Dirte,Middleweight,"Winnipeg, Manitoba",Canada
80,John Alessio,"5' 10""",155 lbs.,"72""",Orthodox,7/5/1979 0:00,2.1,0.39,0.54,1.85,0.38,0.7,1.2,The Natural,Lightweight,"Vancouver, British Columbia",Canada
81,Carlos Condit,"6' 2""",170 lbs.,"75""",Orthodox,4/26/1984 0:00,3.63,0.39,0.56,0.62,0.54,0.39,1,The Natural Born Killer,Welterweight,"Albuquerque, New Mexico",United States
82,Marcio Alexandre Junior,"6' 0""",185 lbs.,"75""",Southpaw,5/5/1989 0:00,1.61,0.45,0.42,0.35,0.2,0.66,0.7,,,,
83,Tim Hague,"6' 4""",260 lbs.,"76""",Orthodox,5/9/1983 0:00,2.79,0.47,0.46,1.72,0.33,0.85,0.9,The Thrashing Machine,Heavyweight,"Boyle, Alberta",Canada
84,Olaf Alfonso,"6' 2""",170 lbs.,,Orthodox,8/6/1974 0:00,1.65,0.38,0.53,0.37,0.07,0.22,0.7,,,,
85,Pablo Alfonso,"5' 8""",145 lbs.,,,5/9/1983 0:00,0,0,0,0,0,0,0,,,,
86,Jared Cannonier,"5' 11""",185 lbs.,"77""",Switch,3/16/1984 0:00,3.7,0.52,0.64,0.16,0.33,0.54,0,The Killa Gorilla,Heavyweight,"Anchorage, Alaska",United States
87,Levi Alford,,,,,,0,0,0,0,0,0,0,,,,
88,Bill Algeo,"6' 0""",145 lbs.,"73""",Switch,6/9/1989 0:00,6.8,0.56,0.38,0.67,0.33,0.62,0,,,,
89,Jeremy Horn,"6' 1""",185 lbs.,"74""",Orthodox,8/25/1975 0:00,1.19,0.39,0.55,1.83,0.38,0.29,1.1,Gumby,Middleweight,"Cedar Rapids, Iowa",United States
90,Royce Alger,"5' 10""",199 lbs.,,Orthodox,,0,0,0,0,0,0,0,,N/A,,
91,Amir Aliakbari,"6' 3""",250 lbs.,,,6/10/1984 0:00,0,0,0,0,0,0,0,,,,
92,Sultan Aliev,"5' 11""",170 lbs.,"74""",Orthodox,9/17/1984 0:00,1.41,0.45,0.56,1.76,0.38,1,0,,Middleweight,Derbent,Russia
93,John Allan,"6' 1""",205 lbs.,"75""",Orthodox,2/22/1993 0:00,2.95,0.43,0.52,1.94,0.71,0.5,1.2,,,,
94,Arnold Allen,"5' 8""",145 lbs.,"70""",Southpaw,1/22/1994 0:00,3.19,0.41,0.67,1.36,0.52,0.76,0.5,Almighty,Featherweight,"Felixstowe, Suffolk",England
95,George Allen,"6' 2""",205 lbs.,,Open Stance,1/13/1967 0:00,0.8,0.38,0.43,0,0,0.5,0,,,,
96,Ben Alloway,"5' 11""",170 lbs.,"76""",Orthodox,2/19/1981 0:00,1.28,0.49,0.59,0.62,0.5,0.26,0,Benny Blanco,Welterweight,"Gold Coast, Queensland",Australia
97,Joey Beltran,"6' 1""",185 lbs.,"75""",Orthodox,12/8/1981 0:00,4.92,0.36,0.54,0.48,0.18,0.75,0,Mexicutioner,Middleweight,"San Diego, California",United States
98,Brendan Allen,"6' 2""",185 lbs.,"75""",Orthodox,12/28/1995 0:00,3.55,0.59,0.39,1.17,0.37,0.5,2,,,,
99,Wes Combs,"6' 2""",205 lbs.,,Orthodox,6/18/1973 0:00,2.14,0.48,0.45,0,0,0,0,Soldier,Heavyweight,"Rancho Cucamonga, California",United States
