1,Alexander Volkanovski VS Brian Ortega,Alexander Volkanovski,Brian Ortega,-180,155,9/25/2021 0:00,"Las Vegas, Nevada, USA",USA,Alexander Volkanovski,Featherweight,MALE,32,30,U-DEC
2,Valentina Shevchenko VS Lauren Murphy,Valentina Shevchenko,Lauren Murphy,-1375,800,9/25/2021 0:00,"Las Vegas, Nevada, USA",USA,Valentina Shevchenko,Women's Flyweight,FEMALE,33,38,KO/TKO
3,Derrick Lewis VS Ciryl Gane,Derrick Lewis,Ciryl Gane,250,-320,8/7/2021 0:00,"Houston, Texas, USA",USA,Ciryl Gane,Heavyweight,MALE,36,31,KO/TKO
4,Israel Adesanya VS Marvin Vettori,Israel Adesanya,Marvin Vettori,-235,185,6/12/2021 0:00,"Glendale, Arizona, USA",USA,Israel Adesanya,Middleweight,MALE,31,27,U-DEC
5,Deiveson Figueiredo VS Brandon Moreno,Deiveson Figueiredo,Brandon Moreno,-195,150,6/12/2021 0:00,"Glendale, Arizona, USA",USA,Brandon Moreno,Flyweight,MALE,33,27,SUB
6,Charles Oliveira VS Michael Chandler,Charles Oliveira,Michael Chandler,-130,110,5/15/2021 0:00,"Houston, Texas, USA",USA,Charles Oliveira,Lightweight,MALE,31,35,KO/TKO
7,Kamaru Usman VS Jorge Masvidal,Kamaru Usman,Jorge Masvidal,-320,260,4/24/2021 0:00,"Jacksonville, Florida, USA",USA,Kamaru Usman,Welterweight,MALE,33,36,KO/TKO
8,Zhang Weili VS Rose Namajunas,Zhang Weili,Rose Namajunas,-200,170,4/24/2021 0:00,"Jacksonville, Florida, USA",USA,Rose Namajunas,Women's Strawweight,FEMALE,31,28,KO/TKO
9,Valentina Shevchenko VS Jessica Andrade,Valentina Shevchenko,Jessica Andrade,-450,360,4/24/2021 0:00,"Jacksonville, Florida, USA",USA,Valentina Shevchenko,Women's Flyweight,FEMALE,33,29,KO/TKO
10,Stipe Miocic VS Francis Ngannou,Stipe Miocic,Francis Ngannou,117,-137,3/27/2021 0:00,"Las Vegas, Nevada, USA",USA,Francis Ngannou,Heavyweight,MALE,38,34,KO/TKO
11,Jan Blachowicz VS Israel Adesanya,Jan Blachowicz,Israel Adesanya,205,-245,3/6/2021 0:00,"Las Vegas, Nevada, USA",USA,Jan Blachowicz,Light Heavyweight,MALE,38,31,U-DEC
12,Amanda Nunes VS Megan Anderson,Amanda Nunes,Megan Anderson,-700,500,3/6/2021 0:00,"Las Vegas, Nevada, USA",USA,Amanda Nunes,Women's Featherweight,FEMALE,32,31,SUB
13,Petr Yan VS Aljamain Sterling,Petr Yan,Aljamain Sterling,-122,102,3/6/2021 0:00,"Las Vegas, Nevada, USA",USA,Aljamain Sterling,Bantamweight,MALE,28,31,DQ
14,Kamaru Usman VS Gilbert Burns,Kamaru Usman,Gilbert Burns,-278,228,2/13/2021 0:00,"Las Vegas, Nevada, USA",USA,Kamaru Usman,Welterweight,MALE,33,34,KO/TKO
15,Khabib Nurmagomedov VS Justin Gaethje,Khabib Nurmagomedov,Justin Gaethje,-315,255,10/24/2020 0:00,"Abu Dhabi, Abu Dhabi, United Arab Emirates",United Arab Emirates,Khabib Nurmagomedov,Lightweight,MALE,32,31,SUB
16,Israel Adesanya VS Paulo Costa,Israel Adesanya,Paulo Costa,-186,151,9/26/2020 0:00,"Abu Dhabi, Abu Dhabi, United Arab Emirates",United Arab Emirates,Israel Adesanya,Middleweight,MALE,31,29,KO/TKO
17,Dominick Reyes VS Jan Blachowicz,Dominick Reyes,Jan Blachowicz,-265,215,9/26/2020 0:00,"Abu Dhabi, Abu Dhabi, United Arab Emirates",United Arab Emirates,Jan Blachowicz,Light Heavyweight,MALE,30,37,KO/TKO
18,Stipe Miocic VS Daniel Cormier,Stipe Miocic,Daniel Cormier,-106,-112,8/15/2020 0:00,"Las Vegas, Nevada, USA",USA,Stipe Miocic,Heavyweight,MALE,37,41,U-DEC
19,Deiveson Figueiredo VS Joseph Benavidez,Deiveson Figueiredo,Joseph Benavidez,-225,180,7/18/2020 0:00,"Abu Dhabi, Abu Dhabi, United Arab Emirates",United Arab Emirates,Deiveson Figueiredo,Flyweight,MALE,32,35,SUB
20,Kamaru Usman VS Jorge Masvidal,Kamaru Usman,Jorge Masvidal,-240,190,7/11/2020 0:00,"Abu Dhabi, Abu Dhabi, United Arab Emirates",United Arab Emirates,Kamaru Usman,Welterweight,MALE,33,36,U-DEC
21,Alexander Volkanovski VS Max Holloway,Alexander Volkanovski,Max Holloway,-210,170,7/11/2020 0:00,"Abu Dhabi, Abu Dhabi, United Arab Emirates",United Arab Emirates,Alexander Volkanovski,Featherweight,MALE,31,28,S-DEC
22,Petr Yan VS Jose Aldo,Petr Yan,Jose Aldo,-215,175,7/11/2020 0:00,"Abu Dhabi, Abu Dhabi, United Arab Emirates",United Arab Emirates,Petr Yan,Bantamweight,MALE,27,33,KO/TKO
23,Amanda Nunes VS Felicia Spencer,Amanda Nunes,Felicia Spencer,-600,450,6/6/2020 0:00,"Las Vegas, Nevada, USA",USA,Amanda Nunes,Women's Featherweight,FEMALE,32,29,U-DEC
24,Tony Ferguson VS Justin Gaethje,Tony Ferguson,Justin Gaethje,-180,158,5/9/2020 0:00,"Jacksonville, Florida, USA",USA,Justin Gaethje,Lightweight,MALE,36,31,KO/TKO
25,Henry Cejudo VS Dominick Cruz,Henry Cejudo,Dominick Cruz,-225,185,5/9/2020 0:00,"Jacksonville, Florida, USA",USA,Henry Cejudo,Bantamweight,MALE,33,35,KO/TKO
26,Israel Adesanya VS Yoel Romero,Israel Adesanya,Yoel Romero,-260,240,3/7/2020 0:00,"Las Vegas, Nevada, USA",USA,Israel Adesanya,Middleweight,MALE,30,42,U-DEC
27,Weili Zhang VS Joanna Jedrzejczyk,Weili Zhang,Joanna Jedrzejczyk,-185,170,3/7/2020 0:00,"Las Vegas, Nevada, USA",USA,Weili Zhang,Women's Strawweight,FEMALE,30,32,S-DEC
28,Joseph Benavidez VS Deiveson Figueiredo,Joseph Benavidez,Deiveson Figueiredo,-150,130,2/29/2020 0:00,"Norfolk, Virginia, USA", USA,Deiveson Figueiredo,Flyweight,MALE,35,32,KO/TKO
29,Jon Jones VS Thiago Santos,Jon Jones,Thiago Santos,-670,485,7/6/2019 0:00,"Las Vegas, Nevada, USA", USA,Jon Jones,Light Heavyweight,MALE,31,35,S-DEC
30,Amanda Nunes VS Holly Holm,Amanda Nunes,Holly Holm,-360,300,7/6/2019 0:00,"Las Vegas, Nevada, USA", USA,Amanda Nunes,Women's Bantamweight,FEMALE,31,37,KO/TKO
31,Max Holloway VS Frankie Edgar,Max Holloway,Frankie Edgar,-335,275,7/27/2019 0:00,"Edmonton, Alberta, Canada", Canada,Max Holloway,Featherweight,MALE,27,37,U-DEC
32,Jon Jones VS Dominick Reyes,Jon Jones,Dominick Reyes,-460,365,2/8/2020 0:00,"Houston, Texas, USA", USA,Jon Jones,Light Heavyweight,MALE,32,30,U-DEC
33,Valentina Shevchenko VS Katlyn Chookagian,Valentina Shevchenko,Katlyn Chookagian,-920,610,2/8/2020 0:00,"Houston, Texas, USA", USA,Valentina Shevchenko,Women's Flyweight,FEMALE,31,31,KO/TKO
34,Valentina Shevchenko VS Liz Carmouche,Valentina Shevchenko,Liz Carmouche,-1100,700,8/10/2019 0:00,"Montevideo, Uruguay", Uruguay,Valentina Shevchenko,Women's Flyweight,FEMALE,31,35,U-DEC
